Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
pkm2,GenScore(ft_0.5),0.5,4.03,546,245225,1227,11.01,0.802,4.057,0.508,2.016,0.01,0.009,4.03,0.604,0.036
pkm2,GenScore(ft_0.5),1.0,3.3,546,245225,2453,18.024,0.768,3.317,0.512,3.301,0.011,0.008,3.3,0.604,0.036
pkm2,GenScore(ft_0.5),5.0,2.05,546,245225,12262,55.968,0.673,2.055,0.526,10.251,0.011,0.004,2.05,0.604,0.036
pparg,GenScore(ft_0.5),0.5,43.11,24,4095,21,5.306,0.983,57.346,0.609,25.266,0.232,0.232,43.11,0.839,0.295
pparg,GenScore(ft_0.5),1.0,25.62,24,4095,41,6.156,0.968,29.97,0.624,25.651,0.19,0.183,25.62,0.839,0.295
pparg,GenScore(ft_0.5),5.0,8.89,24,4095,205,10.681,0.903,9.324,0.699,44.504,0.139,0.084,8.89,0.839,0.295
tp53,GenScore(ft_0.5),0.5,0.0,64,3409,18,0.0,0.0,0.0,0.497,0.0,-0.01,-0.008,0.0,0.597,0.03
tp53,GenScore(ft_0.5),1.0,0.0,64,3409,35,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,0.597,0.03
tp53,GenScore(ft_0.5),5.0,1.26,64,3409,171,4.045,0.559,1.266,0.507,6.32,0.008,0.007,1.26,0.597,0.03
vdr,GenScore(ft_0.5),0.5,1.81,655,263303,1317,5.93,0.645,1.814,0.502,0.905,0.003,0.003,1.81,0.454,0.016
vdr,GenScore(ft_0.5),1.0,1.47,655,263303,2634,9.632,0.595,1.472,0.502,1.471,0.002,0.002,1.47,0.454,0.016
vdr,GenScore(ft_0.5),5.0,1.02,655,263303,13166,33.407,0.505,1.02,0.501,5.1,0.0,0.0,1.02,0.454,0.016
adrb2,Surflex@Surflex,1.0,5.88,17,311765,3118,1.0,0.855,5.882,0.524,5.881,0.004,0.001,5.88,,
aldh1,Surflex@Surflex,1.0,0.96,5363,107237,1073,51.515,0.489,0.958,0.5,4.801,-0.001,-0.001,0.96,,
esr_ago,Surflex@Surflex,1.0,0.0,13,4391,44,0.0,0.0,0.0,0.495,0.0,-0.005,-0.005,0.0,,
esr_antago,Surflex@Surflex,1.0,0.98,88,3908,40,0.883,0.495,0.98,0.5,2.207,-0.0,-0.0,0.98,,
fen1,Surflex@Surflex,1.0,4.34,360,351078,3511,15.625,0.813,4.355,0.517,4.34,0.011,0.006,4.34,,
gba,Surflex@Surflex,1.0,8.43,163,291404,2915,13.745,0.894,8.465,0.537,8.433,0.018,0.008,8.43,,
idh1,Surflex@Surflex,1.0,0.0,39,358796,3588,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
kat2a,Surflex@Surflex,1.0,2.58,194,342923,3430,5.006,0.721,2.582,0.508,2.581,0.004,0.002,2.58,,
mapk1,Surflex@Surflex,1.0,1.62,308,61875,619,4.992,0.619,1.625,0.503,1.621,0.004,0.004,1.62,,
mtorc1,Surflex@Surflex,1.0,1.03,97,33069,331,1.0,0.507,1.03,0.5,1.031,0.0,0.0,1.03,,
oprk1,Surflex@Surflex,1.0,4.17,24,269499,2695,1.001,0.807,4.171,0.516,4.17,0.003,0.001,4.17,,
pkm2,Surflex@Surflex,1.0,0.18,546,245225,2453,0.983,0.152,0.18,0.496,0.18,-0.004,-0.003,0.18,,
pparg,Surflex@Surflex,1.0,7.41,24,4095,41,1.781,0.885,7.701,0.532,7.419,0.049,0.048,7.41,,
tp53,Surflex@Surflex,1.0,0.0,64,3409,35,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,
vdr,Surflex@Surflex,1.0,0.0,655,263303,2634,0.0,0.0,0.0,0.495,0.0,-0.005,-0.004,0.0,,
adrb2,Pafnucy@Surflex,1.0,11.76,17,311765,3118,1.999,0.922,11.767,0.554,11.761,0.008,0.001,11.76,,
aldh1,Pafnucy@Surflex,1.0,15.93,5363,107237,1073,854.828,0.987,74.428,0.579,79.667,0.344,0.253,15.93,,
esr_ago,Pafnucy@Surflex,1.0,7.69,13,4391,44,1.002,0.887,7.846,0.534,7.706,0.037,0.031,7.69,,
esr_antago,Pafnucy@Surflex,1.0,0.98,88,3908,40,0.883,0.495,0.98,0.5,2.207,-0.0,-0.0,0.98,,
fen1,Pafnucy@Surflex,1.0,5.15,360,351078,3511,18.541,0.838,5.172,0.521,5.15,0.013,0.008,5.15,,
gba,Pafnucy@Surflex,1.0,9.64,163,291404,2915,15.718,0.906,9.687,0.543,9.643,0.021,0.009,9.64,,
idh1,Pafnucy@Surflex,1.0,2.56,39,358796,3588,0.998,0.719,2.56,0.508,2.56,0.002,0.0,2.56,,
kat2a,Pafnucy@Surflex,1.0,3.09,194,342923,3430,5.996,0.756,3.094,0.51,3.091,0.005,0.002,3.09,,
mapk1,Pafnucy@Surflex,1.0,1.3,308,61875,619,4.006,0.566,1.302,0.502,1.301,0.002,0.002,1.3,,
mtorc1,Pafnucy@Surflex,1.0,1.03,97,33069,331,1.0,0.507,1.03,0.5,1.031,0.0,0.0,1.03,,
oprk1,Pafnucy@Surflex,1.0,8.33,24,269499,2695,1.999,0.893,8.335,0.537,8.33,0.007,0.001,8.33,,
pkm2,Pafnucy@Surflex,1.0,0.37,546,245225,2453,2.021,0.27,0.369,0.497,0.37,-0.003,-0.002,0.37,,
pparg,Pafnucy@Surflex,1.0,11.11,24,4095,41,2.67,0.922,11.814,0.551,11.124,0.078,0.075,11.11,,
tp53,Pafnucy@Surflex,1.0,0.0,64,3409,35,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,
