clustering_method,method_name,selected_columns,abl1,ace,aldr,andr,cdk2,cox1,dhi1,dyr,esr1,fa7,fabp4,gria2,hdac2,hivrt,hmdh,hs90a,hxk4,igf1r,kith,kpcb,lfa1,lkha4,nram,prgr,ptn1,pyrd,reni,urok,xiap,Average
spyRMSD,method7,RFScoreVSTMScoreCORCH,32.34,17.03,14.54,28.72,17.91,6.17,20.93,41.51,36.58,47.63,12.55,10.79,2.16,13.33,32.95,8.0,7.58,31.1,36.89,31.92,19.64,19.35,19.36,22.6,31.37,41.74,14.48,31.38,30.92,23.49896551724138
spyRMSD,method1,CHEMPLPFScoreVSTMScoreCORCH,31.24,28.38,18.34,16.78,20.02,9.25,14.26,32.86,29.53,49.4,16.73,20.32,9.16,10.0,30.01,23.99,4.33,25.69,12.3,43.06,9.45,28.74,17.32,16.09,37.49,27.22,15.45,33.84,35.91,23.005517241379312
spyRMSD,method2,CHEMPLPFScoreVSTMScoreCORCH,31.24,28.74,10.12,18.65,16.86,6.17,15.77,24.21,24.56,41.46,16.73,10.79,10.24,10.0,30.6,8.0,2.17,27.72,26.35,31.18,8.0,29.91,18.34,15.41,31.37,26.32,18.34,30.77,32.92,20.791034482758622
spyRMSD,method3,CHEMPLPFScoreVSTMScoreCORCH,16.44,20.22,3.79,14.92,9.48,1.54,13.04,17.29,7.84,16.76,16.73,10.79,6.47,6.67,22.95,2.28,3.25,14.2,17.57,24.5,0.0,23.46,8.15,12.67,25.25,19.06,13.52,16.61,23.94,13.427241379310342
spyRMSD,method4,CHEMPLPFScoreVSTMScoreCORCH,18.09,26.25,2.53,12.68,9.06,2.57,14.56,19.89,5.23,22.05,23.0,5.71,7.01,10.0,31.19,2.28,5.42,16.9,15.81,30.44,2.91,22.87,11.21,9.59,24.48,18.15,18.34,14.77,22.94,14.687241379310343
spyRMSD,method5,CHEMPLPFScoreVSTMScoreCORCH,27.96,26.25,5.69,15.66,15.39,4.63,14.26,24.65,22.73,39.69,16.73,9.52,9.7,13.33,27.66,4.57,2.17,25.69,19.32,31.18,8.0,28.15,14.26,14.38,29.07,26.32,16.41,28.3,28.93,18.98620689655172
spyRMSD,method6,CHEMPLPFScoreVSTMScoreCORCH,27.41,25.9,20.86,23.12,20.44,14.39,22.45,41.94,41.28,51.16,10.46,21.59,1.08,13.33,38.25,10.28,9.75,27.72,38.65,41.57,17.45,17.59,24.45,26.71,32.9,38.11,13.52,36.3,33.92,25.60620689655172
spyRMSD,method7,CHEMPLPFScoreVSTMScoreCORCH,30.15,22.71,15.81,26.85,19.6,6.17,20.63,39.35,35.8,46.75,18.82,13.33,3.77,13.33,32.36,9.14,7.58,30.43,38.65,34.89,15.27,24.63,18.34,19.86,31.37,41.74,16.41,29.53,31.92,23.972068965517234
espsim,method1,CHEMPLPFScoreVS,17.54,18.45,20.87,13.8,7.59,9.25,4.55,6.48,17.24,9.7,14.64,9.52,13.47,0.0,22.95,6.85,0.0,14.88,28.1,14.84,4.36,25.22,3.06,15.07,27.54,16.33,11.59,7.38,15.02,12.97551724137931
espsim,method2,CHEMPLPFScoreVS,25.22,19.87,19.6,20.51,10.11,5.14,9.71,10.81,20.64,18.52,14.64,9.52,11.86,0.0,26.48,3.43,0.0,20.96,29.86,13.36,18.91,24.63,8.15,13.7,26.77,16.33,10.62,9.23,23.61,15.247931034482761
espsim,method3,CHEMPLPFScoreVS,14.8,20.58,12.65,14.55,7.38,2.06,7.58,8.21,10.71,15.0,12.55,8.89,14.55,5.58,20.6,4.57,0.0,10.14,24.59,13.36,12.36,21.7,6.11,12.67,21.42,13.61,11.59,8.0,27.9,12.541724137931036
espsim,method4,CHEMPLPFScoreVS,14.8,20.58,13.91,11.56,6.74,2.06,4.55,5.62,9.93,15.0,6.27,9.52,14.55,11.17,20.01,4.57,0.0,6.76,22.83,12.62,7.27,20.53,5.09,11.3,21.42,10.89,10.62,6.77,27.9,11.546206896551721
espsim,method5,CHEMPLPFScoreVS,30.7,17.38,19.6,24.99,12.22,3.6,11.22,20.32,25.08,20.29,12.55,10.16,12.94,11.17,28.24,2.28,0.0,21.64,29.86,11.13,23.27,21.11,7.13,17.81,27.54,19.06,11.59,14.77,21.46,16.865862068965512
espsim,method6,CHEMPLPFScoreVS,27.96,17.74,19.6,27.23,12.64,9.25,16.99,43.23,36.06,24.7,14.64,14.6,2.69,5.58,45.9,12.56,2.17,22.31,28.1,9.65,24.73,21.11,13.24,23.63,29.07,21.78,9.66,15.38,15.02,19.559310344827587
espsim,method7,CHEMPLPFScoreVS,34.54,18.09,20.23,26.85,13.91,5.65,15.77,40.64,32.92,22.93,12.55,12.7,9.7,5.58,42.37,9.14,1.08,27.05,33.37,11.88,27.64,20.53,12.23,22.6,29.07,19.06,12.55,18.46,21.46,20.01896551724138
espsim,method1,CHEMPLPTMScore,12.61,7.45,12.01,1.12,5.9,5.14,1.52,2.16,7.05,7.06,10.46,6.98,2.69,11.17,27.66,6.85,0.0,9.47,12.29,22.27,2.18,14.66,1.02,5.48,24.48,0.91,4.83,3.08,12.88,8.323448275862068
espsim,method2,CHEMPLPTMScore,10.96,11.71,13.28,1.12,4.0,2.06,0.61,1.73,4.7,12.35,18.82,4.44,7.01,11.17,21.18,2.28,0.0,10.82,15.81,19.3,1.45,17.59,2.04,5.82,25.24,4.54,4.83,6.15,17.17,8.902758620689655
espsim,method3,CHEMPLPTMScore,8.22,7.45,10.12,1.49,3.58,1.03,1.82,0.86,3.14,7.94,14.64,3.17,4.31,5.58,12.36,2.28,0.0,2.03,14.05,13.36,1.45,11.73,1.02,4.45,20.65,3.63,2.9,2.46,6.44,5.936551724137931
