Target,Model,Percentile,Factor_Type,EF_lit,NEF_lit,EF_calc,NEF_calc,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,AUC_ROC,BEDROC
aldh1,EHIGN†(7/15)‡,0.5,NEF,,12.14,60.708,12.139,5363,107237,537,326,0.967,29.349,0.529,60.708,0.181,0.102,,
aldh1,EHIGN†(7/15)‡,1.0,NEF,,9.9,49.487,9.895,5363,107237,1073,531,0.949,18.61,0.547,49.487,0.205,0.151,,
aldh1,EHIGN†(7/15)‡,5.0,NEF,,5.49,27.452,5.489,5363,107237,5362,1472,0.878,7.188,0.618,27.452,0.236,0.236,,
gba,EHIGN†(7/15)‡,0.1,NEF,,96.87,5.479,97.959,163,291404,292,16,0.99,103.58,0.549,9.816,0.073,0.07,,
gba,EHIGN†(7/15)‡,0.5,NEF,,38.96,2.195,39.237,163,291404,1458,32,0.976,40.095,0.596,19.632,0.064,0.039,,
gba,EHIGN†(7/15)‡,1.0,NEF,,26.82,1.509,26.985,163,291404,2915,44,0.965,27.383,0.63,26.994,0.062,0.028,,
gba,EHIGN†(7/15)‡,5.0,NEF,,7.8,0.439,7.852,163,291404,14571,64,0.887,7.883,0.671,39.264,0.037,0.008,,
mapk1,EHIGN†(7/15)‡,0.1,NEF,,37.96,19.355,38.882,308,61875,62,12,0.98,47.974,0.519,19.355,0.085,0.063,,
mapk1,EHIGN†(7/15)‡,0.5,NEF,,12.98,6.452,12.961,308,61875,310,20,0.932,13.786,0.53,6.494,0.06,0.06,,
mapk1,EHIGN†(7/15)‡,1.0,NEF,,9.08,4.523,9.087,308,61875,619,28,0.904,9.47,0.541,9.091,0.058,0.054,,
mapk1,EHIGN†(7/15)‡,5.0,NEF,,3.37,1.681,3.376,308,61875,3094,52,0.774,3.417,0.56,16.883,0.039,0.022,,
vdr,EHIGN†(7/15)‡,0.1,NEF,,38.7,9.47,38.067,655,263303,264,25,0.977,41.944,0.519,9.47,0.059,0.053,,
vdr,EHIGN†(7/15)‡,0.5,NEF,,20.77,5.163,20.756,655,263303,1317,68,0.956,21.831,0.55,10.382,0.07,0.066,,
vdr,EHIGN†(7/15)‡,1.0,NEF,,18.82,4.67,18.772,655,263303,2634,123,0.952,19.642,0.589,18.779,0.089,0.071,,
vdr,EHIGN†(7/15)‡,5.0,NEF,,7.01,1.747,7.022,655,263303,13166,230,0.877,7.13,0.651,35.115,0.069,0.029,,
adrb2,GenScore(ft_0.5),0.5,NEF,,47.04,0.257,47.054,17,311765,1559,4,0.979,47.172,0.615,23.529,0.024,0.005,0.559,0.229
adrb2,GenScore(ft_0.5),1.0,NEF,,23.53,0.128,23.527,17,311765,3118,4,0.959,23.556,0.613,23.529,0.017,0.002,0.559,0.229
adrb2,GenScore(ft_0.5),5.0,NEF,,4.71,0.026,4.706,17,311765,15589,4,0.825,4.707,0.593,23.529,0.006,0.0,0.559,0.229
aldh1,GenScore(ft_0.5),0.5,NEF,,1.73,8.566,1.713,5363,107237,537,46,0.64,1.78,0.502,8.566,0.012,0.007,0.571,0.085
aldh1,GenScore(ft_0.5),1.0,NEF,,1.67,8.388,1.677,5363,107237,1073,90,0.635,1.739,0.504,8.388,0.016,0.011,0.571,0.085
aldh1,GenScore(ft_0.5),5.0,NEF,,1.56,7.796,1.559,5363,107237,5362,418,0.616,1.606,0.515,7.796,0.029,0.029,0.571,0.085
esr1a,GenScore(ft_0.5),0.5,NEF,,30.75,9.091,30.706,13,4391,22,2,0.971,33.677,0.575,15.385,0.115,0.111,0.634,0.152
esr1a,GenScore(ft_0.5),1.0,NEF,,15.37,4.545,15.353,13,4391,44,2,0.941,16.037,0.572,15.385,0.079,0.066,0.634,0.152
esr1a,GenScore(ft_0.5),5.0,NEF,,3.07,0.909,3.071,13,4391,220,2,0.755,3.09,0.552,15.385,0.026,0.012,0.634,0.152
esr1t,GenScore(ft_0.5),0.5,NEF,,3.81,10.0,4.441,88,3908,20,2,0.828,4.823,0.509,10.0,0.037,0.029,0.61,0.065
esr1t,GenScore(ft_0.5),1.0,NEF,,2.91,7.5,3.331,88,3908,40,3,0.779,3.52,0.512,7.5,0.036,0.033,0.61,0.065
esr1t,GenScore(ft_0.5),5.0,NEF,,1.76,4.082,1.813,88,3908,196,8,0.649,1.847,0.521,9.091,0.028,0.026,0.61,0.065
fen1,GenScore(ft_0.5),0.5,NEF,,7.05,0.74,7.22,360,351078,1756,13,0.879,7.266,0.516,3.611,0.014,0.011,0.587,0.067
fen1,GenScore(ft_0.5),1.0,NEF,,4.06,0.427,4.166,360,351078,3511,15,0.807,4.18,0.516,4.167,0.01,0.006,0.587,0.067
fen1,GenScore(ft_0.5),5.0,NEF,,3.79,0.387,3.778,360,351078,17554,68,0.791,3.789,0.57,18.889,0.02,0.006,0.587,0.067
gba,GenScore(ft_0.5),0.5,NEF,,2.41,0.137,2.452,163,291404,1458,2,0.711,2.454,0.504,1.227,0.002,0.001,0.631,0.022
gba,GenScore(ft_0.5),1.0,NEF,,1.2,0.069,1.227,163,291404,2915,2,0.551,1.227,0.501,1.227,0.001,0.0,0.631,0.022
gba,GenScore(ft_0.5),5.0,NEF,,2.17,0.124,2.208,163,291404,14571,18,0.688,2.21,0.53,11.043,0.007,0.001,0.631,0.022
idh1,GenScore(ft_0.5),0.5,NEF,,10.25,0.111,10.256,39,358796,1794,2,0.911,10.267,0.523,5.128,0.007,0.002,0.688,0.08
idh1,GenScore(ft_0.5),1.0,NEF,,7.69,0.084,7.692,39,358796,3588,3,0.885,7.698,0.533,7.692,0.007,0.001,0.688,0.08
idh1,GenScore(ft_0.5),5.0,NEF,,4.1,0.045,4.103,39,358796,17940,8,0.804,4.104,0.578,20.513,0.007,0.001,0.688,0.08
kat2a,GenScore(ft_0.5),0.5,NEF,,2.06,0.117,2.061,194,342923,1715,2,0.673,2.063,0.503,1.031,0.002,0.001,0.351,0.011
kat2a,GenScore(ft_0.5),1.0,NEF,,1.03,0.058,1.031,194,342923,3430,2,0.508,1.031,0.5,1.031,0.0,0.0,0.351,0.011
kat2a,GenScore(ft_0.5),5.0,NEF,,0.41,0.023,0.412,194,342923,17147,4,0.292,0.412,0.485,2.062,-0.003,-0.001,0.351,0.011
